65.75.193.21:443   | 172.71.155.22  | US | 150ms | cloudflare | 2023-09-05 23:50:13
47.251.44.159:443  | 172.71.159.45  | US | 159ms | cloudflare | 2023-09-06 00:43:49
47.88.0.185:443    | 172.71.158.178 | US | 159ms | cloudflare | 2023-09-06 00:25:24
47.251.49.17:443   | 172.71.154.118 | US | 160ms | cloudflare | 2023-09-06 00:43:51
67.230.165.11:443  | 162.158.186.221 | US | 160ms | cloudflare | 2023-09-06 00:54:33
47.251.44.159:443  | 162.158.167.24 | US | 161ms | cloudflare | 2023-09-06 00:44:06
47.254.66.75:443   | 172.69.134.160 | US | 161ms | cloudflare | 2023-09-06 00:47:22
47.88.0.185:443    | 172.69.134.170 | US | 161ms | cloudflare | 2023-09-06 00:25:49
47.88.12.132:443   | 172.69.22.159  | US | 161ms | cloudflare | 2023-09-06 00:25:54
47.251.49.17:443   | 172.69.134.127 | US | 162ms | cloudflare | 2023-09-06 00:44:14
47.254.87.223:443  | 172.71.158.134 | US | 163ms | cloudflare | 2023-09-06 00:47:16
47.254.50.8:443    | 172.71.158.26  | US | 164ms | cloudflare | 2023-09-06 00:47:07
172.247.67.171:443 | 162.158.186.59 | US | 167ms | cloudflare | 2023-09-05 23:58:11
47.251.6.17:443    | 172.71.158.178 | US | 167ms | cloudflare | 2023-09-06 00:44:06
47.89.208.19:443   | 172.69.134.190 | US | 167ms | cloudflare | 2023-09-06 00:28:11
47.89.208.19:443   | 172.69.22.39   | US | 167ms | cloudflare | 2023-09-06 00:28:18
47.254.66.75:443   | 162.158.166.136 | US | 169ms | cloudflare | 2023-09-06 00:47:16
65.49.216.143:443  | 172.70.211.79  | US | 169ms | cloudflare | 2023-09-06 00:54:30
47.89.229.76:443   | 172.69.22.228  | US | 170ms | cloudflare | 2023-09-06 00:28:34
47.88.18.185:443   | 172.71.158.27  | US | 171ms | cloudflare | 2023-09-06 00:25:30
47.251.7.160:443   | 172.71.159.45  | US | 172ms | cloudflare | 2023-09-06 00:44:06
47.88.18.185:443   | 172.69.135.9   | US | 175ms | cloudflare | 2023-09-06 00:25:57
47.89.229.76:443   | 172.71.154.17  | US | 176ms | cloudflare | 2023-09-06 00:28:23
47.251.7.160:443   | 172.69.134.190 | US | 178ms | cloudflare | 2023-09-06 00:43:42
47.88.22.219:443   | 172.71.155.21  | US | 178ms | cloudflare | 2023-09-06 00:25:59
47.254.27.134:443  | 162.158.167.30 | US | 179ms | cloudflare | 2023-09-06 00:47:01
47.254.27.134:443  | 172.71.154.83  | US | 182ms | cloudflare | 2023-09-06 00:46:36
95.169.6.125:443   | 172.70.206.181 | US | 182ms | cloudflare | 2023-09-06 00:55:03
47.88.91.186:443   | 172.71.158.178 | US | 183ms | cloudflare | 2023-09-06 00:26:22
65.49.218.220:443  | 172.69.34.9    | US | 186ms | cloudflare | 2023-09-06 00:54:27
47.88.22.219:443   | 172.69.23.100  | US | 189ms | cloudflare | 2023-09-06 00:25:33
141.11.40.205:443  | 172.71.123.113 | US | 196ms | cloudflare | 2023-09-06 02:40:59
216.38.168.188:443 | 172.70.210.84  | US | 198ms | cloudflare | 2023-09-05 23:59:01
