165.154.22.180:443 | 64.252.104.184 | HK | 33ms | CloudFront | 2023-09-05 23:51:07
45.40.59.100:443   | 64.252.84.127  | HK | 39ms | CloudFront | 2023-09-05 23:45:14
45.40.59.224:443   | 64.252.104.184 | HK | 40ms | CloudFront | 2023-09-05 23:45:13
45.40.59.252:443   | 64.252.73.98   | HK | 40ms | CloudFront | 2023-09-05 23:45:13
193.110.202.15:443 | 64.252.104.184 | HK | 41ms | CloudFront | 2023-09-05 23:50:15
128.14.67.112:443  | 64.252.104.184 | HK | 42ms | CloudFront | 2023-09-05 23:47:14
128.14.67.112:443  | 64.252.104.184 | HK | 42ms | CloudFront | 2023-09-05 23:47:39
128.14.67.181:443  | 64.252.73.98   | HK | 42ms | CloudFront | 2023-09-05 23:47:25
128.14.67.181:443  | 64.252.73.98   | HK | 42ms | CloudFront | 2023-09-05 23:47:42
45.40.59.231:443   | 64.252.104.184 | HK | 42ms | CloudFront | 2023-09-05 23:45:12
128.14.67.148:443  | 64.252.68.33   | HK | 44ms | CloudFront | 2023-09-05 23:47:40
128.14.67.246:443  | 64.252.73.98   | HK | 45ms | CloudFront | 2023-09-05 23:47:42
128.14.67.246:443  | 64.252.73.98   | HK | 46ms | CloudFront | 2023-09-05 23:47:24
47.75.185.79:443   | 64.252.104.184 | HK | 46ms | CloudFront | 2023-09-06 00:24:46
193.110.202.22:443 | 64.252.104.184 | HK | 47ms | CloudFront | 2023-09-05 23:50:15
45.40.59.207:443   | 64.252.110.108 | HK | 47ms | CloudFront | 2023-09-05 23:45:12
47.57.117.205:443  | 64.252.104.184 | HK | 47ms | CloudFront | 2023-09-06 00:21:25
8.217.188.92:443   | 64.252.104.184 | HK | 47ms | CloudFront | 2023-09-06 00:10:34
103.48.169.109:443 | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-05 23:55:34
128.14.67.148:443  | 64.252.68.33   | HK | 48ms | CloudFront | 2023-09-05 23:47:15
128.14.67.181:443  | 64.252.73.98   | HK | 48ms | CloudFront | 2023-09-05 23:47:15
47.242.20.110:443  | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-06 00:35:57
47.243.253.221:443 | 64.252.84.127  | HK | 48ms | CloudFront | 2023-09-06 00:40:16
47.243.43.62:443   | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-06 00:39:21
47.57.140.68:443   | 64.252.73.98   | HK | 48ms | CloudFront | 2023-09-06 00:22:15
8.217.188.92:443   | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-06 00:10:57
8.217.203.16:443   | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-06 00:10:54
8.217.9.221:443    | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-06 00:09:29
8.217.90.59:443    | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-06 00:09:44
150.109.68.166:443 | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-06 02:36:17
47.243.204.87:443  | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-06 00:38:50
47.57.117.205:443  | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-06 00:22:11
8.210.84.107:443   | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-06 00:02:38
8.217.203.16:443   | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-06 00:10:36
8.217.9.221:443    | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-06 00:09:51
8.218.54.35:443    | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-06 00:11:43
8.218.55.154:443   | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-06 00:11:16
119.28.24.232:443  | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-06 02:34:31
43.155.74.241:443  | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-06 02:30:40
43.155.75.66:443   | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-06 02:30:40
47.242.11.147:443  | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-06 00:36:51
47.242.237.29:443  | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-06 00:37:52
47.243.43.62:443   | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-06 00:38:07
47.57.136.189:443  | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-06 00:21:27
