165.154.22.180:443 | 64.252.104.184 | HK | 38ms | CloudFront | 2023-09-04 23:51:05
156.59.91.106:443  | 64.252.73.98   | SG | 41ms | CloudFront | 2023-09-04 23:48:47
156.59.91.113:443  | 64.252.84.127  | SG | 41ms | CloudFront | 2023-09-04 23:48:47
45.40.59.252:443   | 64.252.73.98   | HK | 41ms | CloudFront | 2023-09-04 23:45:14
128.14.67.112:443  | 64.252.104.184 | HK | 43ms | CloudFront | 2023-09-04 23:47:25
128.14.67.181:443  | 64.252.73.98   | HK | 43ms | CloudFront | 2023-09-04 23:47:27
193.110.202.15:443 | 64.252.104.184 | HK | 43ms | CloudFront | 2023-09-04 23:50:11
47.101.183.119:443 | 64.252.110.108 | CN | 43ms | CloudFront | 2023-09-01 01:28:20
128.1.31.70:443    | 64.252.73.98   | US | 44ms | CloudFront | 2023-09-04 23:46:38
128.14.67.148:443  | 64.252.68.33   | HK | 44ms | CloudFront | 2023-09-04 23:47:18
128.14.67.148:443  | 64.252.68.33   | HK | 44ms | CloudFront | 2023-09-04 23:47:44
156.59.91.133:443  | 64.252.84.127  | SG | 44ms | CloudFront | 2023-09-04 23:48:47
45.40.59.100:443   | 64.252.84.127  | HK | 44ms | CloudFront | 2023-09-04 23:45:15
128.14.67.148:443  | 64.252.68.33   | HK | 45ms | CloudFront | 2023-09-04 23:47:27
128.14.67.246:443  | 64.252.73.98   | HK | 46ms | CloudFront | 2023-09-04 23:47:27
128.14.67.246:443  | 64.252.73.98   | HK | 46ms | CloudFront | 2023-09-04 23:47:46
45.40.59.224:443   | 64.252.104.184 | HK | 46ms | CloudFront | 2023-09-04 23:45:13
128.14.67.246:443  | 64.252.73.98   | HK | 47ms | CloudFront | 2023-09-04 23:47:17
45.40.59.231:443   | 64.252.104.184 | HK | 47ms | CloudFront | 2023-09-04 23:45:13
128.1.31.105:443   | 64.252.104.184 | US | 48ms | CloudFront | 2023-09-04 23:46:37
128.14.67.112:443  | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-04 23:47:16
193.110.202.15:443 | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-04 23:50:11
193.110.202.22:443 | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-04 23:50:11
47.243.253.221:443 | 64.252.84.127  | HK | 48ms | CloudFront | 2023-09-05 00:40:22
47.243.253.221:443 | 64.252.84.127  | HK | 48ms | CloudFront | 2023-09-05 00:41:42
47.57.117.205:443  | 64.252.104.184 | HK | 48ms | CloudFront | 2023-09-05 00:21:49
119.28.24.232:443  | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-05 02:33:09
47.242.237.29:443  | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-05 00:38:44
47.242.34.85:443   | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-05 00:37:48
47.57.117.205:443  | 64.252.104.184 | HK | 49ms | CloudFront | 2023-09-05 00:22:36
124.156.141.116:443 | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-05 02:34:05
43.132.189.97:443  | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-05 02:27:01
43.132.212.12:443  | 64.252.104.184 | HK | 50ms | CloudFront | 2023-09-05 02:27:04
47.57.140.68:443   | 64.252.73.98   | HK | 50ms | CloudFront | 2023-09-05 00:21:52
128.14.67.181:443  | 64.252.73.98   | HK | 51ms | CloudFront | 2023-09-04 23:47:44
150.109.68.166:443 | 64.252.104.184 | HK | 51ms | CloudFront | 2023-09-05 02:34:56
150.109.68.166:443 | 64.252.104.184 | HK | 51ms | CloudFront | 2023-09-05 02:35:18
45.40.59.207:443   | 64.252.110.108 | HK | 51ms | CloudFront | 2023-09-04 23:45:14
47.242.69.57:443   | 64.252.84.127  | HK | 51ms | CloudFront | 2023-09-05 00:38:01
47.243.236.206:443 | 64.252.104.184 | HK | 51ms | CloudFront | 2023-09-05 00:41:39
47.57.140.68:443   | 64.252.73.98   | HK | 51ms | CloudFront | 2023-09-05 00:22:39
47.57.183.180:443  | 64.252.108.84  | HK | 51ms | CloudFront | 2023-09-05 00:21:58
47.57.9.29:443     | 64.252.104.184 | HK | 51ms | CloudFront | 2023-09-05 00:21:33
193.110.202.22:443 | 64.252.104.184 | HK | 52ms | CloudFront | 2023-09-04 23:50:11
47.242.237.29:443  | 64.252.104.184 | HK | 52ms | CloudFront | 2023-09-05 00:37:20
47.57.71.186:443   | 64.252.104.184 | HK | 52ms | CloudFront | 2023-09-05 00:21:44
8.217.90.59:443    | 64.252.104.184 | HK | 52ms | CloudFront | 2023-09-05 00:09:32
119.28.130.207:443 | 64.252.104.184 | HK | 53ms | CloudFront | 2023-09-05 02:33:21
128.1.31.130:443   | 64.252.68.33   | US | 53ms | CloudFront | 2023-09-04 23:47:06
47.242.201.252:443 | 64.252.104.184 | HK | 53ms | CloudFront | 2023-09-05 00:38:44
47.57.183.180:443  | 64.252.108.84  | HK | 53ms | CloudFront | 2023-09-05 00:22:44
8.217.195.172:443  | 64.252.104.184 | HK | 53ms | CloudFront | 2023-09-05 00:10:21
8.217.204.3:443    | 64.252.104.184 | HK | 53ms | CloudFront | 2023-09-05 00:10:32
128.1.31.6:443     | 64.252.104.184 | US | 54ms | CloudFront | 2023-09-04 23:46:37
156.251.176.24:443 | 64.252.104.184 | HK | 54ms | CloudFront | 2023-09-04 23:56:11
156.251.176.24:443 | 64.252.104.184 | HK | 54ms | CloudFront | 2023-09-04 23:56:23
156.251.179.83:443 | 64.252.104.184 | HK | 54ms | CloudFront | 2023-09-04 23:56:19
156.59.152.230:443 | 64.252.110.108 | HK | 54ms | CloudFront | 2023-09-04 23:48:55
